task_id,dataset_id,dataset,seed,model,n_train,n_val,n_test,accuracy,macro_f1,brier,ece,search_time_sec,fit_time_sec,inference_time_sec,selected_config_index,selected_params_json
3913,1063,kc2,11,Logistic Regression,312,105,105,0.8285714285714286,0.668188202247191,0.22551205900216445,0.059077541140899165,0.10524037491995841,0.0030456670792773366,0.0011604169849306345,3,"{""C"": 0.1, ""class_weight"": null}"
3913,1063,kc2,11,Random Forest,312,105,105,0.8380952380952381,0.7323436797121008,0.22640307984803903,0.05803672571753923,2.666501333937049,0.14302329195197672,0.028086083009839058,8,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 300}"
3913,1063,kc2,11,Extra Trees,312,105,105,0.8380952380952381,0.7323436797121008,0.23925128313460042,0.0675176337201546,1.84861099999398,0.10285029199440032,0.02723112504463643,1,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}"
3913,1063,kc2,11,HistGradientBoosting,312,105,105,0.8476190476190476,0.7429620563035495,0.22054395668298812,0.08890615488054893,4.0042829170124605,0.2917616249760613,0.006692540948279202,3,"{""learning_rate"": 0.03, ""max_depth"": 6, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}"
3913,1063,kc2,11,MLP,312,105,105,0.8476190476190476,0.7619047619047619,0.22227938779995451,0.0546489342660418,2.824052207986824,0.4626427919138223,0.0008324169320985675,9,"{""alpha"": 1e-05, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.0003}"
3913,1063,kc2,17,Logistic Regression,312,105,105,0.819047619047619,0.7539770625231225,0.2709613611909393,0.09853649429877724,0.07028474996332079,0.00789008301217109,0.0007121249800547957,12,"{""C"": 1000.0, ""class_weight"": ""balanced""}"
3913,1063,kc2,17,Random Forest,312,105,105,0.8952380952380953,0.8195594438369005,0.1789420536713989,0.059650095812007635,2.336179875070229,0.12955199996940792,0.027033959049731493,7,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
3913,1063,kc2,17,Extra Trees,312,105,105,0.8761904761904762,0.7771428571428571,0.17810761444064827,0.07253292896858121,1.870899833040312,0.10211662505753338,0.027147999964654446,7,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
3913,1063,kc2,17,HistGradientBoosting,312,105,105,0.8952380952380953,0.8268106162843005,0.16977663930593256,0.053271946382431254,3.9024231659714133,0.39326220797374845,0.0053143330151215196,1,"{""learning_rate"": 0.03, ""max_depth"": null, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}"
3913,1063,kc2,17,MLP,312,105,105,0.8761904761904762,0.7663071391884951,0.19412483286969845,0.0769763388394394,2.7838373749982566,0.46347624994814396,0.0007652909262105823,11,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.0003}"
3913,1063,kc2,23,Logistic Regression,312,105,105,0.7523809523809524,0.6677215189873418,0.39468588737934884,0.13502064943038655,0.07064695900771767,0.007066083024255931,0.0009051250526681542,10,"{""C"": 100.0, ""class_weight"": ""balanced""}"
3913,1063,kc2,23,Random Forest,312,105,105,0.7714285714285715,0.6428571428571428,0.2934023031947983,0.09534118637435292,2.268869291059673,0.12829162494745106,0.027510583051480353,8,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 300}"
3913,1063,kc2,23,Extra Trees,312,105,105,0.7904761904761904,0.6837349397590362,0.3095205834693983,0.09840770860981563,1.8459327499149367,0.10211737500503659,0.02809708402492106,6,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}"
3913,1063,kc2,23,HistGradientBoosting,312,105,105,0.7619047619047619,0.6344520261801978,0.31148937924382564,0.13257512854509412,3.508206875063479,0.20007362496107817,0.004094499978236854,9,"{""learning_rate"": 0.1, ""max_depth"": 6, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}"
3913,1063,kc2,23,MLP,312,105,105,0.7523809523809524,0.564176245210728,0.2963339490185184,0.11353735079113786,2.8693229999626055,0.11379220802336931,0.0006915419362485409,3,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.0003}"
3913,1063,kc2,31,Logistic Regression,312,105,105,0.8095238095238095,0.7216330858960763,0.25680477328724516,0.09842240011061815,0.07123912498354912,0.002513375016860664,0.000624750042334199,4,"{""C"": 0.1, ""class_weight"": ""balanced""}"
3913,1063,kc2,31,Random Forest,312,105,105,0.8380952380952381,0.7085714285714285,0.22593437248889484,0.06413131559308662,2.2578913749894127,0.12664362508803606,0.02748583408538252,8,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 300}"
3913,1063,kc2,31,Extra Trees,312,105,105,0.8380952380952381,0.694401643554186,0.2210912878250323,0.04450303333753138,1.8408659580163658,0.10174383409321308,0.027576667023822665,7,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
