model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,brier_mean,brier_std,ece_mean,ece_std,search_time_mean,fit_time_mean,inference_time_mean,mean_rank
MLP,0.8660866713166595,0.11393335656301314,0.803326021265066,0.1468256282524279,0.2000801806582505,0.16641454641542147,0.06593181568389268,0.053951327206313675,12.47394019897934,1.404991785316728,0.0010480346474796025,2.64
HistGradientBoosting,0.8648741469800397,0.10545090678048466,0.7912202119594702,0.14446018459443777,0.19517911506140218,0.14521235427531207,0.05528889728560256,0.04364393824078323,25.666626307689583,2.3203599793231113,0.021026630707085086,2.6
Extra Trees,0.8670801283924268,0.1033252140205085,0.7851682955318248,0.14524335883878564,0.19284821265168764,0.14190343697539712,0.06589972128739406,0.04277526407155662,2.441740894718096,0.16988753132522103,0.027952211720868893,2.84
Random Forest,0.864235026272519,0.10578369006572019,0.7800549440706033,0.14801047187077904,0.19251333377472574,0.14049555394666827,0.05816473606426138,0.033778151336360265,3.7794326349887997,0.2788867203667759,0.02703748337738211,3.32
Logistic Regression,0.801613140825062,0.1460416698424567,0.7476057720429412,0.15745382731763616,0.2695706774415772,0.18125097281439384,0.05614365240087771,0.03684581891789667,0.24314068496506658,0.02419862168375398,0.0008140900554134928,3.6
