dataset,model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,brier_mean,brier_std,ece_mean,ece_std,search_time_mean,fit_time_mean
segment,Logistic Regression,0.890909090909091,0.011309394352911797,0.8903866313067648,0.011206150190918363,0.1609681188634416,0.0059184231435646835,0.03445897732791802,0.011054723167521712,0.3529585830168799,0.07774188318289812
segment,MLP,0.9272727272727274,0.00950904010237606,0.9268997931530801,0.009368330582077143,0.1102851536031888,0.00960319957605057,0.03570490845620034,0.012032967793681095,10.889086941373535,1.310111683397554
segment,Random Forest,0.9281385281385282,0.007713649212643023,0.9278317363014402,0.007872919540509095,0.10574390690716773,0.012699691077981537,0.03619403735469798,0.0024731942246546236,3.2301424165954815,0.21686641699634487
spambase,Extra Trees,0.9563517915309447,0.005173128881464317,0.9541249661215169,0.005441183203583484,0.077454990916732,0.009413727994616069,0.04896801706739614,0.014234384622471175,2.7679647834505885,0.19740286681335414
spambase,HistGradientBoosting,0.9533116178067317,0.004410444302191077,0.9510713724156222,0.004680424670151412,0.06856098282386121,0.009429134740021446,0.01239144254568124,0.0018141665474296453,9.479636924806982,0.8383085584035144
spambase,Logistic Regression,0.9261672095548317,0.013029315960912011,0.9224374363184478,0.013655244932241892,0.12879488378299844,0.02389253285834185,0.0483642398489751,0.011600761065578882,0.2028798496117815,0.0139495003968477
spambase,MLP,0.9450597176981541,0.00935911484886431,0.9422113472338486,0.009764166890352359,0.09392338448966495,0.017913475628150044,0.038336823453077304,0.01251439590878955,17.15633501682896,1.706091924989596
spambase,Random Forest,0.9541802388707925,0.009784043714283515,0.9517137566111484,0.010422521585816134,0.08022752797224693,0.008388806978824208,0.050068495463473986,0.006149195549407278,4.268156416574493,0.23605216683354224
steel-plates-fault,Extra Trees,0.7845758354755784,0.01578414543239971,0.808460519755425,0.024532496622743597,0.2950517926074737,0.013348993471059917,0.07520421799067062,0.015321898673240778,2.421590858628042,0.15299754163715987
steel-plates-fault,HistGradientBoosting,0.8025706940874036,0.013771820294065665,0.8258959999762098,0.01768758736430042,0.2937477512728738,0.02283477555649886,0.09302763491001774,0.04335559344330121,47.96912439179141,3.7849505336023865
steel-plates-fault,Logistic Regression,0.708483290488432,0.019288772732446356,0.7236412861512314,0.023977581404091543,0.396623191003916,0.035209383712737595,0.0637434389965713,0.017536029308672516,0.4556443416047841,0.02393482497427608
steel-plates-fault,MLP,0.7537275064267352,0.01340710006211342,0.7841666157457123,0.02424502743799705,0.3671286298287676,0.04714082564124054,0.11544407370051588,0.06210218942875926,10.648883033241145,1.01527109160088
steel-plates-fault,Random Forest,0.7876606683804627,0.014150497629329422,0.8123193761441397,0.0163689733271431,0.2971799997266068,0.012934019422676824,0.07777348480982907,0.019034327993040594,3.330431033181958,0.2773690250236541
vehicle,Extra Trees,0.7494117647058823,0.02374897557433687,0.7413664682153955,0.025698802187410486,0.2888254847337454,0.02346698431859554,0.10131848676261077,0.015129690170577774,2.1992030666209756,0.12892347462475298
vehicle,HistGradientBoosting,0.7670588235294117,0.01887859592456611,0.7636912904521362,0.016611029892803383,0.3360803523685117,0.0366138700842906,0.13041749307704706,0.03615446607533295,18.572548566991465,1.5583052581874655
vehicle,Logistic Regression,0.8011764705882353,0.013413828530578107,0.7998314059002136,0.015256817230628975,0.26830911931150575,0.015969851051127342,0.07176211710750312,0.015666081827241673,0.16970346658490593,0.012932399963028678
vehicle,MLP,0.8388235294117647,0.012887589588356908,0.8393574594546026,0.012256433738488056,0.23960596927170014,0.01672004128385726,0.09415391936058339,0.019875829897434576,4.324084742018021,0.4833630747627467
vehicle,Random Forest,0.7458823529411764,0.024747863491720742,0.7383114461295077,0.022238644464653793,0.29720483897755234,0.011222423867636793,0.10483616437954639,0.0181801031153295,2.7168264416279273,0.17864029142074284
wall-robot-navigation,Extra Trees,0.9782051282051283,0.0077811889326916215,0.9719242536660685,0.010128417254692336,0.04146041040872008,0.011105617694663967,0.04798733628492014,0.012908610661843173,2.940865374961868,0.22010780817363407
wall-robot-navigation,HistGradientBoosting,0.9972527472527473,0.0009157509157509333,0.9958402318738051,0.0034879008278199167,0.0044381860634964,0.0014434507457633593,0.00242301111724052,0.0005977766429739367,30.906181225180624,2.0486690500052647
wall-robot-navigation,Logistic Regression,0.6884615384615385,0.01894962818999248,0.656238352110593,0.021562540289617266,0.41890020487155766,0.02731275067767243,0.03917234151408994,0.00874420623668181,0.2960700498195365,0.0290286497911438
wall-robot-navigation,MLP,0.932967032967033,0.008020012470993173,0.9289050175662459,0.01139405923309944,0.10954993504127195,0.014658281967094077,0.03511299145935406,0.011720713764515531,23.010570566589013,2.334537033550441
wall-robot-navigation,Random Forest,0.9970695970695971,0.0013582781111896977,0.995552064068115,0.0021848242855375733,0.00567626226875756,0.0018528964074535385,0.010536633428300041,0.0017286650355002947,4.871568658389151,0.5127286249771714
wdbc,Extra Trees,0.9631578947368421,0.009609167675529209,0.9603010412805817,0.010609752577420589,0.05794364812893373,0.010975688630286683,0.03971765465903142,0.005089878143930301,1.8708107167854906,0.10407729141879822
wdbc,HistGradientBoosting,0.9578947368421054,0.0039229262763154325,0.9543500701025985,0.004481486426289674,0.06766017647919961,0.011225515188164186,0.0354293058276758,0.0041376608739471694,4.866975458222441,0.47076763338409366
wdbc,Logistic Regression,0.9754385964912281,0.013010874538764317,0.9733555913990113,0.01422578277272487,0.04616429999849494,0.014185487457131921,0.03522237731953222,0.006343577582214906,0.061905241594649815,0.0031890500104054197
wdbc,MLP,0.968421052631579,0.01330329025272199,0.9659122778810396,0.014448230555694308,0.04553574998468854,0.02149505600779947,0.024600550133345382,0.009137793369705174,1.5116736667929218,0.20330953341908753
wdbc,Random Forest,0.9578947368421054,0.0073391230397725805,0.9548024899684275,0.007331759627061888,0.0638605847953216,0.013709599859973465,0.037649122807017446,0.007664852069792678,2.164976824820042,0.14091623339336362
wilt,Extra Trees,0.9838842975206612,0.005196188570231082,0.9085793915803491,0.036169870559730304,0.02751300259650814,0.004980352147754844,0.01946811161883934,0.0023675928160182885,2.3072194831678643,0.13802850844804193
wilt,HistGradientBoosting,0.9863636363636363,0.004643017573191013,0.9288406412663166,0.028545997685213993,0.02331273129998648,0.007663199758776621,0.0110829518604947,0.003646418117037368,8.501286375219934,0.6728856164030731
wilt,Logistic Regression,0.9669421487603305,0.0030991735537189737,0.8113188902413251,0.028830917482921464,0.04931872785652458,0.0037384352315535546,0.0122948082384788,0.0032310249012815024,0.08409227519296107,0.00448045837692912
wilt,MLP,0.9900826446280991,0.0026938852914060343,0.9492509964299736,0.0151183130893622,0.01453578446688964,0.003744101358089832,0.007500987940335,0.0015555310564466698,9.666962508391588,0.90025420836173
wilt,Random Forest,0.9832644628099174,0.00458519442586204,0.9072832625977162,0.030374941379950504,0.025651337232919402,0.005622994329099968,0.013323493610772622,0.0013740041719728716,3.0861021583899855,0.21777626660186794
