model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,brier_mean,brier_std,ece_mean,ece_std,search_time_mean,fit_time_mean,inference_time_mean
Extra Trees,0.90239764672787,0.0872018764301104,0.8731934942763618,0.11729836871062282,0.13780395380571403,0.1082865474620284,0.04696701585054177,0.0297019197621219,2.478477167414967,0.17595943164546038,0.028619166640564755
Random Forest,0.9020474434760851,0.08328427161212516,0.8724214186643556,0.11568893336019076,0.1402539569526585,0.10702965349277908,0.04596432362522279,0.027353532165074537,4.035584112573415,0.3327073341840878,0.027671869981568252
HistGradientBoosting,0.9004042253982287,0.08493659111551104,0.8693431675913276,0.11899855266056368,0.1435735966941554,0.11723716005273707,0.03159206660863069,0.036880737663147214,15.115111543301028,1.3129989200108685,0.01135836581233885
MLP,0.8901832238884282,0.08316043666706174,0.8523535734240538,0.12797979455039227,0.16491726044471178,0.1173583146762883,0.04883242591488677,0.05931988699261926,4.216115622431971,0.545798517507501,0.00127527751028533
Logistic Regression,0.8567211657974231,0.10038094472546673,0.8352422242906143,0.12160875639173141,0.20120547711959294,0.1334994723116417,0.04272116385724831,0.02870150768806372,0.1587798115587793,0.01579920420423145,0.000846294909715596
