model,mean_macro_f1_std,mean_accuracy_std,mean_brier_std,mean_ece_std
Random Forest,0.022358432961733406,0.012309721361274829,0.013681843170849008,0.010671895210595132
Logistic Regression,0.023017169043354952,0.02125463942480199,0.027736170046691124,0.017390238523909488
MLP,0.023448185577387988,0.013305480950652504,0.019765713421195413,0.019096471607396456
HistGradientBoosting,0.024338449298988006,0.013566863471922166,0.018403924116653595,0.01516145801778045
Extra Trees,0.02536028200725097,0.013472655239556647,0.01698119483125034,0.014748384440301281
